Season,Team,Ranking,Matches Played,Wins,Draws,Losses,Goals Scored,Goals Conceded
2013,Man City,1,38,27,5,6,102,37
2013,Liverpool,2,38,26,6,6,101,50
2013,Chelsea,3,38,25,7,6,71,27
2013,Arsenal,4,38,24,7,7,68,41
2013,Everton,5,38,21,9,8,61,39
2013,Tottenham,6,38,21,6,11,55,51
2013,Man Utd,7,38,19,7,12,64,43
2013,Southampton,8,38,15,11,12,54,46
2013,Stoke City,9,38,13,11,14,45,52
2013,Newcastle,10,38,15,4,19,43,59
2013,Crystal Palace,11,38,13,6,19,33,48
2013,Swansea,12,38,11,9,18,54,54
2013,West Ham,13,38,11,7,20,40,51
2013,Sunderland,14,38,10,8,20,41,60
2013,Aston Villa,15,38,10,8,20,39,61
2013,Hull City,16,38,10,7,21,38,53
2013,West Brom,17,38,7,15,16,43,59
2013,Norwich,18,38,8,9,21,28,62
2013,Fulham,19,38,9,5,24,40,85
2013,Cardiff,20,38,7,9,22,32,74
2014,Chelsea,1,38,26,9,3,73,32
2014,Man City,2,38,24,7,7,83,38
2014,Arsenal,3,38,22,9,7,71,36
2014,Man Utd,4,38,20,10,8,62,37
2014,Tottenham,5,38,19,7,12,58,53
2014,Liverpool,6,38,18,8,12,52,48
2014,Southampton,7,38,18,6,14,54,33
2014,Swansea,8,38,16,8,14,46,49
2014,Stoke City,9,38,15,9,14,48,45
2014,Crystal Palace,10,38,13,9,16,47,51
2014,Everton,11,38,12,11,15,48,50
2014,West Ham,12,38,12,11,15,44,47
2014,West Brom,13,38,11,11,16,38,51
2014,Leicester,14,38,11,8,19,46,55
2014,Newcastle,15,38,10,9,19,40,63
2014,Sunderland,16,38,7,17,14,31,53
2014,Aston Villa,17,38,10,8,20,31,57
2014,Hull City,18,38,8,11,19,33,51
2014,Burnley,19,38,7,12,19,28,53
2014,QPR,20,38,8,6,24,42,73
2015,Leicester,1,38,23,12,3,68,36
2015,Arsenal,2,38,20,11,7,65,36
2015,Tottenham,3,38,19,13,6,69,35
2015,Man City,4,38,19,9,10,71,41
2015,Man Utd,5,38,19,9,10,49,35
2015,Southampton,6,38,18,9,11,59,41
2015,West Ham,7,38,16,14,8,65,51
2015,Liverpool,8,38,16,12,10,63,50
2015,Stoke City,9,38,14,9,15,41,55
2015,Chelsea,10,38,12,14,12,59,53
2015,Everton,11,38,11,14,13,59,55
2015,Swansea,12,38,12,11,15,42,52
2015,Watford,13,38,12,9,17,40,50
2015,West Brom,14,38,10,13,15,34,48
2015,Crystal Palace,15,38,11,9,18,39,51
2015,Bournemouth,16,38,11,9,18,45,67
2015,Sunderland,17,38,9,12,17,48,62
2015,Newcastle,18,38,9,10,19,44,65
2015,Norwich,19,38,9,7,22,39,67
2015,Aston Villa,20,38,3,8,27,27,76
2016,Chelsea,1,38,30,3,5,85,33
2016,Tottenham,2,38,26,8,4,86,26
2016,Man City,3,38,23,9,6,80,39
2016,Liverpool,4,38,22,10,6,78,42
2016,Arsenal,5,38,23,6,9,77,44
2016,Man Utd,6,38,18,15,5,54,29
2016,Everton,7,38,17,10,11,62,44
2016,Southampton,8,38,12,10,16,41,48
2016,Bournemouth,9,38,12,10,16,55,67
2016,West Brom,10,38,12,9,17,43,51
2016,West Ham,11,38,12,9,17,47,64
2016,Leicester,12,38,12,8,18,48,63
2016,Stoke City,13,38,11,11,16,41,56
2016,Crystal Palace,14,38,12,5,21,50,63
2016,Swansea,15,38,12,5,21,45,70
2016,Burnley,16,38,11,7,20,39,55
2016,Watford,17,38,11,7,20,40,68
2016,Hull City,18,38,9,7,22,37,80
2016,Middlesbrough,19,38,5,13,20,27,53
2016,Sunderland,20,38,6,6,26,29,69
2017,Man City,1,38,32,4,2,106,27
2017,Man Utd,2,38,25,6,7,68,28
2017,Tottenham,3,38,23,8,7,74,36
2017,Liverpool,4,38,21,12,5,84,38
2017,Chelsea,5,38,21,7,10,62,38
2017,Arsenal,6,38,19,6,13,74,51
2017,Burnley,7,38,14,12,12,36,39
2017,Everton,8,38,13,10,15,44,58
2017,Leicester,9,38,12,11,15,56,60
2017,Newcastle,10,38,12,8,18,39,47
2017,Crystal Palace,11,38,11,11,16,45,55
2017,Bournemouth,12,38,11,11,16,45,61
2017,West Ham,13,38,10,12,16,48,68
2017,Watford,14,38,11,8,19,44,64
2017,Brighton,15,38,9,13,16,34,54
2017,Huddersfield,16,38,9,10,19,28,58
2017,Southampton,17,38,7,15,16,37,56
2017,Swansea,18,38,8,9,21,28,56
2017,Stoke City,19,38,7,12,19,35,68
2017,West Brom,20,38,6,13,19,31,56
2018,Man City,1,38,32,2,4,95,23
2018,Liverpool,2,38,30,7,1,89,22
2018,Chelsea,3,38,21,9,8,63,39
2018,Tottenham,4,38,23,2,13,67,39
2018,Arsenal,5,38,21,7,10,73,51
2018,Man Utd,6,38,19,9,10,65,54
2018,Wolves,7,38,16,9,13,47,46
2018,Everton,8,38,15,9,14,54,46
2018,Leicester,9,38,15,7,16,51,48
2018,West Ham,10,38,15,7,16,52,55
2018,Watford,11,38,14,8,16,52,59
2018,Crystal Palace,12,38,14,7,17,51,53
2018,Newcastle,13,38,12,9,17,42,48
2018,Bournemouth,14,38,13,6,19,56,70
2018,Burnley,15,38,11,7,20,45,68
2018,Southampton,16,38,9,12,17,45,65
2018,Brighton,17,38,9,9,20,35,60
2018,Cardiff,18,38,10,4,24,34,69
2018,Fulham,19,38,7,5,26,34,81
2018,Huddersfield,20,38,3,7,28,22,76
2019,Liverpool,1,38,32,3,3,85,33
2019,Man City,2,38,26,3,9,102,35
2019,Man Utd,3,38,18,12,8,66,36
2019,Chelsea,4,38,20,6,12,69,54
2019,Leicester,5,38,18,8,12,67,41
2019,Tottenham,6,38,16,11,11,61,47
2019,Wolves,7,38,15,14,9,51,40
2019,Arsenal,8,38,14,14,10,56,48
2019,Sheff Utd,9,38,14,12,12,39,39
2019,Burnley,10,38,15,9,14,43,50
2019,Southampton,11,38,15,7,16,51,60
2019,Everton,12,38,13,10,15,44,56
2019,Newcastle,13,38,11,11,16,38,58
2019,Crystal Palace,14,38,11,10,17,31,50
2019,Brighton,15,38,9,14,15,39,54
2019,West Ham,16,38,10,9,19,49,62
2019,Aston Villa,17,38,9,8,21,41,67
2019,Bournemouth,18,38,9,7,22,40,65
2019,Watford,19,38,8,10,20,36,64
2019,Norwich,20,38,5,6,27,26,75
2020,Man City,1,38,27,5,6,83,32
2020,Man Utd,2,38,21,11,6,73,44
2020,Liverpool,3,38,20,9,9,68,42
2020,Chelsea,4,38,19,10,9,58,36
2020,Leicester,5,38,20,6,12,68,50
2020,West Ham,6,38,19,8,11,62,47
2020,Tottenham,7,38,18,8,12,68,45
2020,Arsenal,8,38,18,7,13,55,39
2020,Leeds,9,38,18,5,15,62,54
2020,Everton,10,38,17,8,13,47,48
2020,Aston Villa,11,38,16,7,15,55,46
2020,Newcastle,12,38,12,9,17,46,62
2020,Wolves,13,38,12,9,17,36,52
2020,Crystal Palace,14,38,12,8,18,41,66
2020,Southampton,15,38,12,7,19,47,68
2020,Brighton,16,38,9,14,15,40,46
2020,Burnley,17,38,10,9,19,33,55
2020,Fulham,18,38,5,13,20,27,53
2020,West Brom,19,38,5,11,22,35,76
2020,Sheff Utd,20,38,7,2,29,20,63
2021,Man City,1,38,29,6,3,99,26
2021,Liverpool,2,38,28,8,2,94,26
2021,Chelsea,3,38,21,11,6,76,33
2021,Tottenham,4,38,22,5,11,69,40
2021,Arsenal,5,38,22,3,13,61,48
2021,Man Utd,6,38,16,10,12,57,57
2021,West Ham,7,38,16,8,14,60,51
2021,Leicester,8,38,14,10,14,62,59
2021,Brighton,9,38,12,15,11,42,44
2021,Wolves,10,38,15,6,17,38,43
2021,Newcastle,11,38,13,10,15,44,62
2021,Crystal Palace,12,38,11,15,12,50,46
2021,Brentford,13,38,13,7,18,48,56
2021,Aston Villa,14,38,13,6,19,52,54
2021,Southampton,15,38,9,13,16,43,67
2021,Everton,16,38,11,6,21,43,66
2021,Leeds,17,38,9,11,18,42,79
2021,Burnley,18,38,7,14,17,34,53
2021,Watford,19,38,6,5,27,34,77
2021,Norwich,20,38,5,7,26,23,84
2022,Man City,1,38,28,5,5,94,33
2022,Arsenal,2,38,26,6,6,88,43
2022,Man Utd,3,38,23,6,9,58,43
2022,Newcastle,4,38,19,14,5,68,33
2022,Liverpool,5,38,19,10,9,75,47
2022,Brighton,6,38,18,8,12,72,53
2022,Aston Villa,7,38,18,7,13,51,46
2022,Tottenham,8,38,18,6,14,70,63
2022,Brentford,9,38,15,14,9,58,46
2022,Fulham,10,38,15,7,16,55,53
2022,Crystal Palace,11,38,11,12,15,40,49
2022,Chelsea,12,38,11,11,16,38,47
2022,Wolves,13,38,11,8,19,31,58
2022,West Ham,14,38,11,7,20,42,55
2022,Bournemouth,15,38,11,6,21,37,71
2022,Nottm Forest,16,38,9,11,18,38,68
2022,Everton,17,38,8,12,18,34,57
2022,Leicester,18,38,9,7,22,51,68
2022,Leeds,19,38,7,10,21,48,78
2022,Southampton,20,38,6,7,25,36,73
2023,Man City,1,38,28,7,3,96,34
2023,Arsenal,2,38,28,5,5,91,29
2023,Liverpool,3,38,24,10,4,86,41
2023,Aston Villa,4,38,20,8,10,76,61
2023,Tottenham,5,38,20,6,12,74,61
2023,Chelsea,6,38,18,9,11,77,63
2023,Newcastle,7,38,18,6,14,85,62
2023,Man Utd,8,38,18,6,14,57,58
2023,West Ham,9,38,14,10,14,60,74
2023,Crystal Palace,10,38,13,10,15,57,58
2023,Brighton,11,38,12,12,14,55,62
2023,Bournemouth,12,38,13,9,16,54,67
2023,Fulham,13,38,13,8,17,55,61
2023,Wolves,14,38,13,7,18,50,65
2023,Everton,15,38,13,9,16,40,51
2023,Brentford,16,38,10,9,19,56,65
2023,Nottm Forest,17,38,9,9,20,49,67
2023,Luton,18,38,6,8,24,52,85
2023,Burnley,19,38,5,9,24,41,78
2023,Sheff Utd,20,38,3,7,28,35,104
